,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
8,sqldbHD,andromeda,300,E.Weibull,2.71301775477985 1.31921803874073 1.90530436740042,215.576382718836,1048.04388313295,1054.04388313295,1054.06797951849,1059.6397515364501,1068.7671489699,0.0609629629643341
0,sqldbHD,halley,1500,Gamma,7.73434391192042 0.551436133139527,724.4935628229041,3604.05754675185,3608.05754675185,3608.0695828601793,3611.7881256875203,3617.8730573098205,0.0414666666649282
1,sqldbHD,halley,1500,Weibull,2.30307649691666 4.7288696745838,1186.5614095903802,3880.0635266306604,3884.0635266306604,3884.0755627389794,3887.79410556632,3893.8790371886207,0.0404761904750818
2,sqldbHD,halley,1500,Normal,4.26498423190032 1.68133444588015,822.403675748358,3877.0525156033705,3881.0525156033705,3881.0645517117,3884.78309453904,3890.86802616134,0.0033333333315871
3,sqldbHD,halley,1500,T.Normal,4.23087993901469 1.72404755086506,818.6982912406979,3864.5054642023497,3868.5054642023497,3868.51750031067,3872.2360431380102,3878.32097476031,0.0155555555522571
4,sqldbHD,halley,1500,Lognormal,1.38440108919871 0.390975507866735,756.207455730544,3728.4556546560707,3732.4556546560707,3732.4676907644002,3736.18623359174,3742.27116521404,0.007333333334018891
5,sqldbHD,halley,1500,OLL-GG,22.7553536369885 1.34246999400922 0.341627218477597 6.04194206716963,715.564000861162,3503.7556104083,3511.7556104083,3511.7958114133303,3519.2167682796294,3531.38663152423,1.36962500000209
6,sqldbHD,halley,1500,Kw-CWG,0.0114297136087145 0.724062013109626 2.0557591208758 1.9595659914078 1.76555796477158,699.3988611170661,3490.15569617755,3500.15569617755,3500.2160583505897,3509.48214351671,3524.69447257246,1.2570607275406394
7,sqldbHD,halley,1500,G.Gamma,0.646287604916253 1.04150136754055 7.15613690602014,1056.4225606946002,3603.87821613202,3609.87821613202,3609.9023125175604,3615.4740845355104,3624.60148196896,0.0594814814803949
8,sqldbHD,halley,1500,E.Weibull,1.48536143604909 2.6149233833638 4.47557368584229,893.153130550004,3611.8031771914502,3617.8031771914502,3617.8272735769897,3623.39904559495,3632.5264430284,0.0527407407401673
0,dijkstra,lasdpc,2M,Gamma,1.91111642587056 0.00392052317255593,-1600.13070994332,-8002.20298471598,-7998.20298471598,-7998.19094860765,-7994.472405780309,-7988.387474158009,0.113083333333634
1,dijkstra,lasdpc,2M,Weibull,1.42611587418176 0.0083122126322399,-1592.6677102771803,-7968.28495090874,-7964.28495090874,-7964.27291480042,-7960.5543719730795,-7954.46944035078,0.108916666666725
2,dijkstra,lasdpc,2M,Normal,0.00747452664109003 0.00561004361125709,-1505.7229709016901,-7529.516504860921,-7525.516504860921,-7525.504468752591,-7521.78592592525,-7515.700994302951,0.0268888888870909
3,dijkstra,lasdpc,2M,T.Normal,0.00028165958024491 0.00926487475478881,-1578.2104120059198,-7894.523079750079,-7890.523079750079,-7890.511043641759,-7886.79250081442,-7880.70756919212,0.0893333333337473
4,dijkstra,lasdpc,2M,Lognormal,-5.17812821096784 0.784254385599964,-1600.57088753549,-8004.4225911584,-8000.4225911584,-8000.410555050079,-7996.69201222274,-7990.607080600441,0.01399999999881
5,dijkstra,lasdpc,2M,OLL-GG,0.00297979528405679 0.696671887881751 1.97575334916163 1.48711048236248,-1600.1536061372199,-8000.76803068612,-7992.76803068612,-7992.7278296811,-7985.30687281479,-7973.1370095701905,1.16168749999815
6,dijkstra,lasdpc,2M,Kw-CWG,1 0.260944190634005 233.059517503671 10.165030038386 42.5381813745706,-1600.90134421574,-8005.224870129141,-7995.224870129141,-7995.164507956099,-7985.898422789979,-7970.68609373423,27.30923815289644
7,dijkstra,lasdpc,2M,G.Gamma,0.00504629240075213 1.08539929065323 1.61391253055396,-1598.80790961388,-7994.462235380241,-7988.462235380241,-7988.438138994691,-7982.866366976741,-7973.738969543291,0.134777777777614
8,dijkstra,lasdpc,2M,E.Weibull,1.01887423227638 0.00514727458851508 1.99613664583592,-1601.33211470625,-8007.1042350128,-8001.1042350128,-8001.08013862726,-7995.5083666093005,-7986.38096917585,0.22692592592459399
0,mandelbrot,andromeda,30000,Gamma,5 0.0016158703527594,-1727.36761220206,-8637.12250327042,-8633.12250327042,-8633.11046716209,-8629.39192433475,-8623.30699271245,0.0868000000026465
1,mandelbrot,andromeda,30000,Weibull,2.63844129989125 0.00905731843250987,-1735.1421177329198,-8676.30477665607,-8672.30477665607,-8672.29274054774,-8668.5741977204,-8662.4892660981,0.0810000000007373
2,mandelbrot,andromeda,30000,Normal,0.00807935176379699 0.00317065068675623,-1733.8505665312803,-8670.759829982171,-8666.759829982171,-8666.747793873841,-8663.0292510465,-8656.944319424201,0.0263333333358686
3,mandelbrot,andromeda,30000,T.Normal,0.00807229124877156 0.00326942111481577,-1733.87929381696,-8682.445686382891,-8678.445686382891,-8678.43365027457,-8674.71510744723,-8668.630175824928,0.11088888889126901
4,mandelbrot,andromeda,30000,Lognormal,-4.91069816619729 0.477994397744247,-1688.45475751499,-8459.8341469173,-8455.8341469173,-8455.82211080898,-8452.103567981641,-8446.01863635934,0.0174444444435519
5,mandelbrot,andromeda,30000,OLL-GG,0.021617940532107 2.60146723814935 0.298268449811789 2.85431044689514,-1741.9195875226,-8715.515826895358,-8707.515826895358,-8707.475625890329,-8700.05466902403,-8687.88480577943,1.17975000000206
6,mandelbrot,andromeda,30000,Kw-CWG,0.286805285268255 0.554774372015011 195.539775171019 4.899354068554 46.3434048674576,-1736.0103656275198,-8701.23055721667,-8691.23055721667,-8691.170195043629,-8681.90410987751,-8666.691780821759,26.232342706916356
7,mandelbrot,andromeda,30000,G.Gamma,0.00683820273289513 2.0331198607145 1.63684423775166,-1737.7140078662699,-8689.74795209158,-8683.74795209158,-8683.723855706041,-8678.15208368809,-8669.024686254641,0.13119230769203
8,mandelbrot,andromeda,30000,E.Weibull,2.20090413314638 0.00794023071409547 1.48632237095986,-1738.04666913443,-8690.23334567215,-8684.23334567215,-8684.209249286609,-8678.63747726865,-8669.5100798352,0.23992592592441297
0,mandelbrot,lasdpc,5000,Gamma,2 0.00117214702066661,-2095.7150713962,-10478.8127229237,-10474.8127229237,-10474.8006868154,-10471.082143988,-10464.997212365699,0.10638461538697999
1,mandelbrot,lasdpc,5000,Weibull,2 0.00262889183233316,-2145.2438003587804,-10726.219001793901,-10722.219001793901,-10722.2069656856,-10718.4884228582,-10712.4034912359,0.0672222222217695
