algorithm,machine,problem size,time
dijkstra,andromeda,500K,0.328595633
dijkstra,andromeda,500K,0.329640625
dijkstra,andromeda,500K,0.330002172
dijkstra,andromeda,500K,0.329135346
dijkstra,andromeda,500K,0.326412570
dijkstra,andromeda,500K,0.327464814
dijkstra,andromeda,500K,0.327408328
dijkstra,andromeda,500K,0.328448675
dijkstra,andromeda,500K,0.322902492
dijkstra,andromeda,500K,0.328909071
dijkstra,andromeda,500K,0.325930215
dijkstra,andromeda,500K,0.328717743
dijkstra,andromeda,500K,0.329656304
dijkstra,andromeda,500K,0.323517633
dijkstra,andromeda,500K,0.327877868
dijkstra,andromeda,500K,0.326841248
dijkstra,andromeda,500K,0.324042223
dijkstra,andromeda,500K,0.325025071
dijkstra,andromeda,500K,0.321104395
dijkstra,andromeda,500K,0.325503899
dijkstra,andromeda,500K,0.324768231
dijkstra,andromeda,500K,0.326708698
dijkstra,andromeda,500K,0.324758756
dijkstra,andromeda,500K,0.323599149
dijkstra,andromeda,500K,0.324766988
dijkstra,andromeda,500K,0.327775454
dijkstra,andromeda,500K,0.328675503
dijkstra,andromeda,500K,0.327443433
dijkstra,andromeda,500K,0.324254332
dijkstra,andromeda,500K,0.328039983
dijkstra,andromeda,500K,0.327822835
dijkstra,andromeda,500K,0.323411359
dijkstra,andromeda,500K,0.326263442
dijkstra,andromeda,500K,0.327829909
dijkstra,andromeda,500K,0.323809600
dijkstra,andromeda,500K,0.326151227
dijkstra,andromeda,500K,0.331531434
dijkstra,andromeda,500K,0.328242077
dijkstra,andromeda,500K,0.326738495
dijkstra,andromeda,500K,0.326931828
dijkstra,andromeda,500K,0.326742803
dijkstra,andromeda,500K,0.323311821
dijkstra,andromeda,500K,0.327093790
dijkstra,andromeda,500K,0.324941266
dijkstra,andromeda,500K,0.323697672
dijkstra,andromeda,500K,0.326969094
dijkstra,andromeda,500K,0.328451824
dijkstra,andromeda,500K,0.323691872
dijkstra,andromeda,500K,0.329276942
dijkstra,andromeda,500K,0.326111392
dijkstra,andromeda,500K,0.330616321
dijkstra,andromeda,500K,0.330146297
dijkstra,andromeda,500K,0.329263929
dijkstra,andromeda,500K,0.327299919
dijkstra,andromeda,500K,0.327047595
dijkstra,andromeda,500K,0.324718225
dijkstra,andromeda,500K,0.325669952
dijkstra,andromeda,500K,0.322661011
dijkstra,andromeda,500K,0.327996099
dijkstra,andromeda,500K,0.324697326
dijkstra,andromeda,500K,0.330567029
dijkstra,andromeda,500K,0.328996498
dijkstra,andromeda,500K,0.325291671
dijkstra,andromeda,500K,0.324202233
dijkstra,andromeda,500K,0.326893308
dijkstra,andromeda,500K,0.327804631
dijkstra,andromeda,500K,0.328025492
dijkstra,andromeda,500K,0.325286665
dijkstra,andromeda,500K,0.326857421
dijkstra,andromeda,500K,0.324562735
dijkstra,andromeda,500K,0.327587046
dijkstra,andromeda,500K,0.327529930
dijkstra,andromeda,500K,0.326004026
dijkstra,andromeda,500K,0.327627377
dijkstra,andromeda,500K,0.326462958
